observation_date,FRARECM
10/1/1977,0
11/1/1977,0
12/1/1977,0
1/1/1978,0
2/1/1978,0
3/1/1978,0
4/1/1978,0
5/1/1978,0
6/1/1978,0
7/1/1978,0
8/1/1978,0
9/1/1978,0
10/1/1978,0
11/1/1978,0
12/1/1978,0
1/1/1979,0
2/1/1979,0
3/1/1979,0
4/1/1979,0
5/1/1979,0
6/1/1979,0
7/1/1979,0
8/1/1979,0
9/1/1979,0
10/1/1979,0
11/1/1979,0
12/1/1979,1
1/1/1980,1
2/1/1980,1
3/1/1980,1
4/1/1980,1
5/1/1980,1
6/1/1980,1
7/1/1980,1
8/1/1980,1
9/1/1980,1
10/1/1980,1
11/1/1980,1
12/1/1980,1
1/1/1981,1
2/1/1981,0
3/1/1981,0
4/1/1981,0
5/1/1981,0
6/1/1981,0
7/1/1981,0
8/1/1981,0
9/1/1981,0
10/1/1981,0
11/1/1981,0
12/1/1981,0
1/1/1982,0
2/1/1982,0
3/1/1982,0
4/1/1982,0
5/1/1982,1
6/1/1982,1
7/1/1982,1
8/1/1982,1
9/1/1982,1
10/1/1982,1
11/1/1982,1
12/1/1982,1
1/1/1983,1
2/1/1983,1
3/1/1983,1
4/1/1983,1
5/1/1983,1
6/1/1983,1
7/1/1983,1
8/1/1983,1
9/1/1983,1
10/1/1983,1
11/1/1983,1
12/1/1983,1
1/1/1984,1
2/1/1984,1
3/1/1984,1
4/1/1984,1
5/1/1984,1
6/1/1984,1
7/1/1984,1
8/1/1984,1
9/1/1984,1
10/1/1984,1
11/1/1984,1
12/1/1984,1
1/1/1985,1
2/1/1985,1
3/1/1985,1
4/1/1985,1
5/1/1985,1
6/1/1985,1
7/1/1985,1
8/1/1985,1
9/1/1985,1
10/1/1985,1
11/1/1985,1
12/1/1985,1
1/1/1986,1
2/1/1986,1
3/1/1986,1
4/1/1986,1
5/1/1986,1
6/1/1986,1
7/1/1986,1
8/1/1986,1
9/1/1986,1
10/1/1986,1
11/1/1986,1
12/1/1986,1
1/1/1987,1
2/1/1987,1
3/1/1987,1
4/1/1987,0
5/1/1987,0
6/1/1987,0
7/1/1987,0
8/1/1987,0
9/1/1987,0
10/1/1987,0
11/1/1987,0
12/1/1987,0
1/1/1988,0
2/1/1988,0
3/1/1988,0
4/1/1988,0
5/1/1988,0
6/1/1988,0
7/1/1988,0
8/1/1988,0
9/1/1988,0
10/1/1988,0
11/1/1988,0
12/1/1988,0
1/1/1989,0
2/1/1989,0
3/1/1989,0
4/1/1989,0
5/1/1989,0
6/1/1989,0
7/1/1989,0
8/1/1989,0
9/1/1989,0
10/1/1989,0
11/1/1989,0
12/1/1989,0
1/1/1990,1
2/1/1990,1
3/1/1990,1
4/1/1990,1
5/1/1990,1
6/1/1990,1
7/1/1990,1
8/1/1990,1
9/1/1990,1
10/1/1990,1
11/1/1990,1
12/1/1990,1
1/1/1991,1
2/1/1991,1
3/1/1991,1
4/1/1991,1
5/1/1991,1
6/1/1991,1
7/1/1991,1
8/1/1991,1
9/1/1991,1
10/1/1991,1
11/1/1991,1
12/1/1991,1
1/1/1992,1
2/1/1992,1
3/1/1992,1
4/1/1992,1
5/1/1992,1
6/1/1992,1
7/1/1992,1
8/1/1992,1
9/1/1992,1
10/1/1992,1
11/1/1992,1
12/1/1992,1
1/1/1993,1
2/1/1993,1
3/1/1993,1
4/1/1993,1
5/1/1993,1
6/1/1993,1
7/1/1993,1
8/1/1993,1
9/1/1993,1
10/1/1993,0
11/1/1993,0
12/1/1993,0
1/1/1994,0
2/1/1994,0
3/1/1994,0
4/1/1994,0
5/1/1994,0
6/1/1994,0
7/1/1994,0
8/1/1994,0
9/1/1994,0
10/1/1994,0
11/1/1994,0
12/1/1994,0
1/1/1995,0
2/1/1995,0
3/1/1995,1
4/1/1995,1
5/1/1995,1
6/1/1995,1
7/1/1995,1
8/1/1995,1
9/1/1995,1
10/1/1995,1
11/1/1995,1
12/1/1995,1
1/1/1996,1
2/1/1996,1
3/1/1996,1
4/1/1996,1
5/1/1996,1
6/1/1996,1
7/1/1996,1
8/1/1996,1
9/1/1996,1
10/1/1996,1
11/1/1996,1
12/1/1996,1
1/1/1997,1
2/1/1997,1
3/1/1997,0
4/1/1997,0
5/1/1997,0
6/1/1997,0
7/1/1997,0
8/1/1997,0
9/1/1997,0
10/1/1997,0
11/1/1997,0
12/1/1997,0
1/1/1998,0
2/1/1998,0
3/1/1998,0
4/1/1998,0
5/1/1998,0
6/1/1998,0
7/1/1998,0
8/1/1998,0
9/1/1998,0
10/1/1998,0
11/1/1998,0
12/1/1998,0
1/1/1999,0
2/1/1999,0
3/1/1999,0
4/1/1999,0
5/1/1999,0
6/1/1999,0
7/1/1999,0
8/1/1999,0
9/1/1999,0
10/1/1999,0
11/1/1999,0
12/1/1999,0
1/1/2000,0
2/1/2000,0
3/1/2000,0
4/1/2000,0
5/1/2000,0
6/1/2000,0
7/1/2000,0
8/1/2000,0
9/1/2000,0
10/1/2000,0
11/1/2000,1
12/1/2000,1
1/1/2001,1
2/1/2001,1
3/1/2001,1
4/1/2001,1
5/1/2001,1
6/1/2001,1
7/1/2001,1
8/1/2001,1
9/1/2001,1
10/1/2001,1
11/1/2001,1
12/1/2001,1
1/1/2002,1
2/1/2002,1
3/1/2002,1
4/1/2002,1
5/1/2002,1
6/1/2002,1
7/1/2002,1
8/1/2002,1
9/1/2002,1
10/1/2002,1
11/1/2002,1
12/1/2002,1
1/1/2003,1
2/1/2003,1
3/1/2003,1
4/1/2003,1
5/1/2003,1
6/1/2003,1
7/1/2003,0
8/1/2003,0
9/1/2003,0
10/1/2003,0
11/1/2003,0
12/1/2003,0
1/1/2004,0
2/1/2004,0
3/1/2004,0
4/1/2004,0
5/1/2004,0
6/1/2004,0
7/1/2004,0
8/1/2004,0
9/1/2004,0
10/1/2004,0
11/1/2004,0
12/1/2004,0
1/1/2005,0
2/1/2005,0
3/1/2005,0
4/1/2005,0
5/1/2005,0
6/1/2005,0
7/1/2005,0
8/1/2005,0
9/1/2005,0
10/1/2005,0
11/1/2005,0
12/1/2005,0
1/1/2006,0
2/1/2006,0
3/1/2006,0
4/1/2006,0
5/1/2006,0
6/1/2006,0
7/1/2006,0
8/1/2006,0
9/1/2006,0
10/1/2006,0
11/1/2006,0
12/1/2006,0
1/1/2007,0
2/1/2007,0
3/1/2007,0
4/1/2007,0
5/1/2007,0
6/1/2007,0
7/1/2007,0
8/1/2007,0
9/1/2007,0
10/1/2007,0
11/1/2007,0
12/1/2007,1
1/1/2008,1
2/1/2008,1
3/1/2008,1
4/1/2008,1
5/1/2008,1
6/1/2008,1
7/1/2008,1
8/1/2008,1
9/1/2008,1
10/1/2008,1
11/1/2008,1
12/1/2008,1
1/1/2009,1
2/1/2009,1
3/1/2009,1
4/1/2009,1
5/1/2009,1
6/1/2009,1
7/1/2009,0
8/1/2009,0
9/1/2009,0
10/1/2009,0
11/1/2009,0
12/1/2009,0
1/1/2010,0
2/1/2010,0
3/1/2010,0
4/1/2010,0
5/1/2010,0
6/1/2010,0
7/1/2010,0
8/1/2010,0
9/1/2010,0
10/1/2010,0
11/1/2010,0
12/1/2010,0
1/1/2011,0
2/1/2011,0
3/1/2011,0
4/1/2011,0
5/1/2011,0
6/1/2011,0
7/1/2011,0
8/1/2011,0
9/1/2011,1
10/1/2011,1
11/1/2011,1
12/1/2011,1
1/1/2012,1
2/1/2012,1
3/1/2012,1
4/1/2012,1
5/1/2012,1
6/1/2012,1
7/1/2012,1
8/1/2012,1
9/1/2012,1
10/1/2012,1
11/1/2012,1
12/1/2012,1
1/1/2013,1
2/1/2013,1
3/1/2013,1
4/1/2013,1
5/1/2013,1
6/1/2013,1
7/1/2013,1
8/1/2013,1
9/1/2013,1
10/1/2013,1
11/1/2013,1
12/1/2013,1
1/1/2014,1
2/1/2014,1
3/1/2014,1
4/1/2014,1
5/1/2014,1
6/1/2014,1
7/1/2014,1
8/1/2014,1
9/1/2014,1
10/1/2014,1
11/1/2014,1
12/1/2014,1
1/1/2015,1
2/1/2015,1
3/1/2015,1
4/1/2015,1
5/1/2015,1
6/1/2015,1
7/1/2015,1
8/1/2015,1
9/1/2015,1
10/1/2015,1
11/1/2015,1
12/1/2015,1
1/1/2016,1
2/1/2016,1
3/1/2016,1
4/1/2016,1
5/1/2016,1
6/1/2016,1
7/1/2016,1
8/1/2016,1
9/1/2016,0
10/1/2016,0
11/1/2016,0
12/1/2016,0
1/1/2017,0
2/1/2017,0
3/1/2017,0
4/1/2017,0
5/1/2017,0
6/1/2017,0
7/1/2017,0
8/1/2017,0
9/1/2017,0
10/1/2017,0
11/1/2017,0
12/1/2017,0
1/1/2018,0
2/1/2018,0
3/1/2018,0
4/1/2018,0
5/1/2018,0
6/1/2018,0
7/1/2018,0
8/1/2018,0
9/1/2018,0
10/1/2018,0
11/1/2018,0
12/1/2018,0
1/1/2019,0
2/1/2019,0
3/1/2019,0
4/1/2019,0
5/1/2019,1
6/1/2019,1
7/1/2019,1
8/1/2019,1
9/1/2019,1
10/1/2019,1
11/1/2019,1
12/1/2019,1
1/1/2020,1
2/1/2020,1
3/1/2020,1
4/1/2020,1
5/1/2020,1
6/1/2020,0
7/1/2020,0
8/1/2020,0
9/1/2020,0
10/1/2020,0
11/1/2020,0
12/1/2020,0
1/1/2021,0
2/1/2021,0
3/1/2021,0
4/1/2021,0
5/1/2021,0
6/1/2021,0
7/1/2021,0
8/1/2021,0
9/1/2021,0
10/1/2021,0
11/1/2021,0
12/1/2021,0
1/1/2022,0
2/1/2022,0
3/1/2022,0
4/1/2022,0
5/1/2022,0
6/1/2022,0
7/1/2022,0
8/1/2022,0
9/1/2022,0
